,Cloudiness,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
193,75,1533772800,60,-54.81,-68.31,41.0,17.22
194,80,1533776981,96,5.52,5.75,73.09,5.5
195,40,1533772800,78,31.42,31.81,80.6,8.05
196,20,1533776982,47,46.16,39.17,74.49,16.46
197,0,1533774000,39,37.01,37.79,78.8,9.17
198,92,1533776963,100,66.83,70.83,48.21,23.51
199,12,1533776962,77,73.51,80.55,50.73,19.37
200,75,1533772800,60,-54.81,-68.31,41.0,17.22
201,75,1533772800,60,-54.81,-68.31,41.0,17.22
202,92,1533776982,98,57.36,57.24,55.99,14.45
203,48,1533776982,78,13.04,8.32,76.47,7.4
204,75,1533772800,60,-54.81,-68.31,41.0,17.22
205,75,1533772800,60,-54.81,-68.31,41.0,17.22
206,92,1533776963,100,-7.93,-14.42,76.83,19.48
207,75,1533772800,88,-22.97,-42.02,69.8,12.75
208,75,1533772800,88,-22.97,-42.02,69.8,12.75
209,8,1533776964,89,14.12,15.31,74.22,8.63
210,12,1533776962,77,73.51,80.55,50.73,19.37
211,75,1533774600,94,42.2,42.2,69.8,4.7
212,75,1533772800,60,-54.81,-68.31,41.0,17.22
213,76,1533776976,94,67.55,63.78,45.78,10.65
214,20,1533774600,87,53.25,50.49,55.4,13.42
215,0,1533774000,39,37.06,37.38,78.8,9.17
216,92,1533776963,100,-7.93,-14.42,76.83,19.48
217,12,1533776962,77,73.51,80.55,50.73,19.37
218,0,1533776962,45,28.42,30.79,77.28,10.87
219,40,1533776400,78,-3.71,-38.6,78.8,9.17
220,92,1533776984,99,56.5,56.08,57.88,15.57
221,12,1533776962,77,73.51,80.55,50.73,19.37
222,92,1533776969,97,4.87,-2.24,77.46,11.54
223,92,1533776963,100,-7.93,-14.42,76.83,19.48
224,75,1533772800,60,-54.81,-68.31,41.0,17.22
225,75,1533772800,60,-54.81,-68.31,41.0,17.22
226,75,1533772800,60,-54.81,-68.31,41.0,17.22
227,12,1533776962,77,73.51,80.55,50.73,19.37
228,12,1533776962,77,73.51,80.55,50.73,19.37
229,75,1533772800,60,-54.81,-68.31,41.0,17.22
230,48,1533776962,89,53.68,53.66,54.96,12.44
231,48,1533776985,85,66.66,66.39,48.66,13.89
232,20,1533772800,94,5.79,0.9,75.2,12.75
